OBJECTID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,Pop25P_e,Pop25P_m,NoHS_e,NoHS_m,pNoHS_e,pNoHS_m,SomeHS_e,SomeHS_m,pSomeHS_e,pSomeHS_m,HSGrad_e,HSGrad_m,pHSGrad_e,pHSGrad_m,SomeColl_e,SomeColl_m,pSomeColl_e,pSomeColl_m,Associates_e,Associates_m,pAssociates_e,pAssociates_m,BA_e,BA_m,pBA_e,pBA_m,GradProf_e,GradProf_m,pGradProf_e,pGradProf_m,LtHS_e,LtHS_m,pLtHS_e,pLtHS_m,HSPlus_e,HSPlus_m,pHSPlus_e,pHSPlus_m,BAPlus_e,BAPlus_m,pBAPlus_e,pBAPlus_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
250,30314,Yes,Atlanta Regional Commission,3330,ZCTA,ZCTA5 30314,12824,752,552,142,4.3,1.1,1789,285,14,2.1,3998,471,31.2,3.2,3241,366,25.3,2.4,798,182,6.2,1.4,1504,257,11.7,1.9,942,157,7.3,1.1,2341,319,18.3,2.2,10483,692,81.7,2.5,2446,301,19.1,2.1,,,,,0.232098731680559,0.00116709316280808
251,30011,Yes,ARC / NE,3154,ZCTA,ZCTA5 30011,9760,683,407,121,4.2,1.2,997,183,10.2,1.7,3122,351,32,2.8,2215,295,22.7,2.6,785,191,8,1.9,1603,327,16.4,3.1,631,212,6.5,2.1,1404,220,14.4,2,8356,631,85.6,2.4,2234,390,22.9,3.7,,,,,0.602927779012401,0.00677199481878922
252,30540,No,Northwest Georgia,3432,ZCTA,ZCTA5 30540,13750,472,1370,328,10,2.4,1725,347,12.5,2.5,4365,449,31.7,3.1,2862,410,20.8,2.9,1000,228,7.3,1.6,1519,278,11,2,909,227,6.6,1.6,3095,477,22.5,3.4,10655,742,77.5,4.7,2428,359,17.7,2.5,,,,,1.2661315570161,0.0511935463734864
253,30315,Yes,Atlanta Regional Commission,3331,ZCTA,ZCTA5 30315,22518,882,1156,204,5.1,0.9,3337,401,14.8,1.7,7911,590,35.1,2.2,4757,479,21.1,2,1073,257,4.8,1.1,2868,359,12.7,1.5,1416,234,6.3,1,4493,450,20,1.8,18025,910,80,2.5,4284,429,19,1.8,,,,,0.322561983195085,0.0028545960436038
254,30012,Yes,ARC / NE,3155,ZCTA,ZCTA5 30012,16582,811,1529,295,9.2,1.7,1853,341,11.2,2,5743,554,34.6,2.9,3268,401,19.7,2.2,1202,290,7.2,1.7,2091,328,12.6,1.9,896,196,5.4,1.2,3382,451,20.4,2.5,13200,835,79.6,3.2,2987,382,18,2.1,,,,,0.594325547039068,0.011047226387871
255,30541,No,Northwest Georgia,3433,ZCTA,ZCTA5 30541,1142,282,25,46,2.2,4,121,78,10.6,6.3,515,157,45.1,8.1,243,100,21.3,7,113,71,9.9,5.7,96,65,8.4,5.3,29,42,2.5,3.6,146,91,12.8,7.3,996,214,87.2,28.5,125,77,10.9,6.2,,,,,1.0854003652784,0.0179732019881271
256,30316,Yes,Atlanta Regional Commission,3332,ZCTA,ZCTA5 30316,24651,935,971,232,3.9,0.9,1973,360,8,1.4,5425,575,22,2.2,4777,547,19.4,2.1,1058,248,4.3,1,5636,540,22.9,2,4811,500,19.5,1.9,2944,428,11.9,1.7,21707,1110,88.1,3,10447,736,42.4,2.5,,,,,0.349907037934834,0.00316681343312046
257,30013,Yes,ARC / NE,3156,ZCTA,ZCTA5 30013,18234,980,632,189,3.5,1,1240,284,6.8,1.5,6021,621,33,2.9,3603,453,19.8,2.2,1554,317,8.5,1.7,3610,523,19.8,2.7,1574,329,8.6,1.7,1872,342,10.3,1.8,16362,1036,89.7,3,5184,617,28.4,3,,,,,0.631475284863095,0.00724530074041521
258,30542,Yes,Georgia Mountains,3434,ZCTA,ZCTA5 30542,24111,970,1371,321,5.7,1.3,1555,260,6.4,1,6512,418,27,1.3,5947,541,24.7,2,2080,300,8.6,1.2,4260,375,17.7,1.4,2386,286,9.9,1.1,2926,413,12.1,1.6,21185,883,87.9,1,6646,472,27.6,1.6,,,,,0.760386701529369,0.0126304092941011
259,30317,Yes,Atlanta Regional Commission,3333,ZCTA,ZCTA5 30317,10061,639,215,97,2.1,1,868,243,8.6,2.3,1982,359,19.7,3.3,1401,243,13.9,2.3,457,143,4.5,1.4,2822,317,28,2.6,2316,302,23,2.6,1083,261,10.8,2.5,8978,632,89.2,2.7,5138,438,51.1,2.9,,,,,0.237024369213739,0.000892988140710427
260,30014,Partial,Northeast Georgia,3157,ZCTA,ZCTA5 30014,23705,996,919,254,3.9,1.1,3139,484,13.2,2,8004,683,33.8,2.5,5464,552,23,2.1,1620,337,6.8,1.4,2798,397,11.8,1.6,1761,348,7.4,1.4,4058,547,17.1,2.2,19647,1078,82.9,2.9,4559,528,19.2,2.1,,,,,1.80577224261386,0.0305334499421865
261,30543,Partial,GM / NE,3435,ZCTA,ZCTA5 30543,3174,486,415,132,13.1,3.6,341,137,10.7,4,1018,250,32.1,6.2,689,175,21.7,4.4,143,70,4.5,2.1,292,105,9.2,3,276,121,8.7,3.6,756,190,23.8,4.8,2418,351,76.2,16.1,568,160,17.9,4.2,,,,,0.887158616664459,0.00961502416633978
262,30318,Yes,Atlanta Regional Commission,3334,ZCTA,ZCTA5 30318,33581,1211,705,157,2.1,0.5,2486,369,7.4,1.1,6485,694,19.3,1.9,6052,580,18,1.6,1269,305,3.8,0.9,9443,761,28.1,2,7141,686,21.3,1.9,3191,401,9.5,1.1,30390,1400,90.5,2.6,16584,1025,49.4,2.5,,,,,0.559032314976152,0.00518815759350064
263,30016,Yes,Northeast Georgia,3158,ZCTA,ZCTA5 30016,33668,906,1415,340,4.2,1,3013,475,8.9,1.4,10390,922,30.9,2.6,9421,883,28,2.5,2826,426,8.4,1.2,4365,582,13,1.7,2238,365,6.6,1.1,4428,584,13.2,1.7,29240,1511,86.8,3.8,6603,687,19.6,2,,,,,0.988999086389291,0.0233218385811955
264,30545,No,Georgia Mountains,3436,ZCTA,ZCTA5 30545,558,136,6,36,1.1,6.4,5,33,0.9,5.8,176,69,31.5,9.6,221,73,39.6,8.7,38,27,6.8,4.6,88,38,15.8,5.5,24,25,4.3,4.3,11,48,2,8.7,547,113,98,31.3,112,45,20.1,6.4,,,,,0.626035868831146,0.0101278645034457
265,30319,Yes,Atlanta Regional Commission,3335,ZCTA,ZCTA5 30319,30647,933,1084,273,3.5,0.9,611,163,2,0.5,2844,373,9.3,1.2,2908,373,9.5,1.2,763,166,2.5,0.5,12989,768,42.4,2.1,9448,652,30.8,1.9,1695,318,5.5,1,28952,1149,94.5,2.4,22437,1007,73.2,2.4,,,,,0.340506971118971,0.00265062916856075
266,30017,Yes,Atlanta Regional Commission,3159,ZCTA,ZCTA5 30017,16025,1145,509,234,3.2,1.4,515,174,3.2,1.1,3876,619,24.2,3.5,2998,495,18.7,2.8,1187,279,7.4,1.7,4600,532,28.7,2.6,2340,388,14.6,2.2,1024,292,6.4,1.8,15001,1067,93.6,9.4,6940,658,43.3,2.7,,,,,0.385041756233221,0.00307210908191311
267,30546,No,Georgia Mountains,3437,ZCTA,ZCTA5 30546,5344,187,258,106,4.8,2,257,84,4.8,1.6,1661,194,31.1,3.5,1327,192,24.8,3.5,453,104,8.5,1.9,868,147,16.2,2.7,520,125,9.7,2.3,515,135,9.6,2.5,4829,350,90.4,5.7,1388,193,26,3.5,,,,,0.962993971981823,0.0358321996143724
268,30019,Yes,ARC / NE,3160,ZCTA,ZCTA5 30019,29149,1469,557,236,1.9,0.8,972,367,3.3,1.2,7206,935,24.7,3,7006,864,24,2.7,2746,504,9.4,1.7,6808,827,23.4,2.6,3854,658,13.2,2.2,1529,436,5.2,1.5,27620,1730,94.8,3.5,10662,1057,36.6,3.1,,,,,0.838931923715746,0.0117641343863928
269,30547,No,Georgia Mountains,3438,ZCTA,ZCTA5 30547,2284,256,61,42,2.7,1.8,368,105,16.1,4.2,1008,180,44.1,6.2,292,98,12.8,4.1,191,57,8.4,2.3,212,82,9.3,3.4,152,63,6.7,2.7,429,113,18.8,4.5,1855,237,81.2,5,364,103,15.9,4.2,,,,,0.818338109131952,0.013359654544852
270,30021,Yes,Atlanta Regional Commission,3161,ZCTA,ZCTA5 30021,14040,692,3097,436,22.1,2.9,1469,295,10.5,2,3225,419,23,2.8,2343,345,16.7,2.3,669,183,4.8,1.3,2305,318,16.4,2.1,932,200,6.6,1.4,4566,526,32.5,3.4,9474,685,67.5,3.6,3237,376,23.1,2.4,,,,,0.200156992581648,0.000895877833492882
271,30548,Partial,ARC / GM / NE,3439,ZCTA,ZCTA5 30548,12314,758,237,111,1.9,0.9,616,180,5,1.4,2807,326,22.8,2.2,2976,356,24.2,2.5,910,208,7.4,1.6,3086,358,25.1,2.5,1682,264,13.7,2,853,211,6.9,1.7,11461,688,93.1,8,4768,444,38.7,2.7,,,,,1.10381585765519,0.00986748845069618
272,30022,Yes,Atlanta Regional Commission,3162,ZCTA,ZCTA5 30022,45113,1100,707,245,1.6,0.5,814,262,1.8,0.6,5044,593,11.2,1.3,6578,710,14.6,1.5,3022,496,6.7,1.1,18478,881,41,1.7,10470,690,23.2,1.4,1521,358,3.4,0.8,43592,1535,96.6,2.5,28948,1119,64.2,1.9,,,,,0.667482698888129,0.00651807826982558
273,30549,No,Northeast Georgia,3440,ZCTA,ZCTA5 30549,16393,679,947,250,5.8,1.5,1715,349,10.5,2.1,4848,505,29.6,2.8,3490,430,21.3,2.5,1796,286,11,1.7,2432,345,14.8,2,1165,207,7.1,1.2,2662,429,16.2,2.5,13731,826,83.8,3.7,3597,402,21.9,2.3,,,,,1.29929714440718,0.0279648227374996
274,30024,Yes,ARC / GM,3163,ZCTA,ZCTA5 30024,46590,1278,715,223,1.5,0.5,1115,251,2.4,0.5,5946,626,12.8,1.3,7507,630,16.1,1.3,4012,515,8.6,1.1,17807,789,38.2,1.3,9488,610,20.4,1.2,1830,336,3.9,0.7,44760,1431,96.1,1.6,27295,997,58.6,1.4,,,,,1.00154776549831,0.0109505299811212
275,30552,No,Georgia Mountains,3441,ZCTA,ZCTA5 30552,1232,200,43,43,3.5,3.4,111,61,9,4.7,309,81,25.1,5.2,301,101,24.4,7.2,77,47,6.3,3.6,238,78,19.3,5.5,153,54,12.4,3.9,154,74,12.5,5.7,1078,168,87.5,19.7,391,95,31.7,5.8,,,,,0.916305731588714,0.0144029987818697
276,30025,Yes,Northeast Georgia,3164,ZCTA,ZCTA5 30025,6647,425,227,134,3.4,2,785,220,11.8,3.2,2199,338,33.1,4.6,1689,314,25.4,4.4,648,198,9.7,2.9,642,158,9.7,2.3,457,156,6.9,2.3,1012,257,15.2,3.7,5635,549,84.8,6.2,1099,222,16.5,3.2,,,,,0.769665896851431,0.0172828634377358
277,30553,No,Georgia Mountains,3442,ZCTA,ZCTA5 30553,5560,480,194,85,3.5,1.5,668,167,12,2.8,1996,244,35.9,3.1,1338,225,24.1,3.5,493,135,8.9,2.3,589,123,10.6,2,282,100,5.1,1.7,862,187,15.5,3.1,4698,392,84.5,10.1,871,158,15.7,2.5,,,,,1.02714904553678,0.0163846282484545
278,30028,Yes,ARC / GM,3165,ZCTA,ZCTA5 30028,15626,661,834,214,5.3,1.4,1128,224,7.2,1.4,3897,343,24.9,1.9,3173,316,20.3,1.8,1016,167,6.5,1,3950,352,25.3,2,1628,242,10.4,1.5,1962,310,12.6,1.9,13664,654,87.4,2,5578,427,35.7,2.3,,,,,0.877655290074557,0.0131832859766775
279,30554,Partial,Georgia Mountains,3443,ZCTA,ZCTA5 30554,4914,472,289,113,5.9,2.2,629,141,12.8,2.6,1745,280,35.5,4.6,1245,203,25.3,3.3,346,103,7,2,316,90,6.4,1.7,344,123,7,2.4,918,180,18.7,3.2,3996,392,81.3,1.6,660,153,13.4,2.8,,,,,1.13808935744143,0.0187874131394642
280,30030,Yes,Atlanta Regional Commission,3166,ZCTA,ZCTA5 30030,18468,695,404,139,2.2,0.7,561,146,3,0.8,2199,382,11.9,2,2112,300,11.4,1.6,591,176,3.2,0.9,6187,500,33.5,2.4,6414,473,34.7,2.2,965,202,5.2,1.1,17503,861,94.8,3,12601,688,68.2,2.7,,,,,0.244592801526213,0.00164576649707523
281,30555,No,Northwest Georgia,3444,ZCTA,ZCTA5 30555,1639,261,153,83,9.3,4.9,210,122,12.8,7.2,655,133,40,5,244,75,14.9,3.9,104,50,6.3,2.9,197,89,12,5.1,76,63,4.6,3.8,363,148,22.1,8.3,1276,194,77.9,17.1,273,109,16.7,6.1,,,,,0.453976179234006,0.00338404773552916
282,30032,Yes,Atlanta Regional Commission,3167,ZCTA,ZCTA5 30032,34383,1025,1347,270,3.9,0.8,4342,463,12.6,1.3,11690,779,34,2,8060,605,23.4,1.6,2065,266,6,0.8,4541,452,13.2,1.3,2338,287,6.8,0.8,5689,536,16.5,1.5,28694,1154,83.5,2.3,6879,536,20,1.4,,,,,0.395690172811372,0.00344432891164177
283,30557,No,Georgia Mountains,3445,ZCTA,ZCTA5 30557,3222,515,264,131,8.2,3.8,497,159,15.4,4.3,1178,246,36.6,4.9,593,165,18.4,4.2,222,107,6.9,3.1,292,138,9.1,4,176,83,5.5,2.4,761,206,23.6,5.2,2461,353,76.4,16.4,468,161,14.5,4.4,,,,,1.19233415320999,0.0148080551151513
284,30033,Yes,Atlanta Regional Commission,3168,ZCTA,ZCTA5 30033,22056,999,956,347,4.3,1.6,894,273,4.1,1.2,2234,393,10.1,1.7,2720,383,12.3,1.6,1151,243,5.2,1.1,7175,603,32.5,2.3,6926,531,31.4,1.9,1850,441,8.4,2,20206,1003,91.6,1.9,14101,804,63.9,2.2,,,,,0.386840027669195,0.00233866692566269
285,30558,No,GM / NE,3446,ZCTA,ZCTA5 30558,3787,383,198,78,5.2,2,658,172,17.4,4.2,1742,222,46,3.6,568,134,15,3.2,197,65,5.2,1.6,329,121,8.7,3.1,95,49,2.5,1.3,856,189,22.6,4.4,2931,297,77.4,0.6,424,130,11.2,3.3,,,,,1.02252746108404,0.0151937795305844
286,30034,Yes,Atlanta Regional Commission,3169,ZCTA,ZCTA5 30034,31198,1183,803,217,2.6,0.7,2064,343,6.6,1.1,8800,768,28.2,2.2,8462,728,27.1,2.1,2780,343,8.9,1,5134,582,16.5,1.8,3155,421,10.1,1.3,2867,405,9.2,1.3,28331,1324,90.8,2.5,8289,718,26.6,2.1,,,,,0.427843744667133,0.00432799556371314
287,30559,No,Northwest Georgia,3447,ZCTA,ZCTA5 30559,3536,371,140,74,4,2.1,379,143,10.7,3.9,1402,268,39.6,6.3,708,163,20,4.1,261,102,7.4,2.8,395,145,11.2,3.9,251,99,7.1,2.7,519,161,14.7,4.3,3017,374,85.3,5.6,646,176,18.3,4.6,,,,,0.784229991367843,0.0127220962086139
288,30035,Yes,Atlanta Regional Commission,3170,ZCTA,ZCTA5 30035,14944,886,449,133,3,0.9,995,255,6.7,1.7,5179,506,34.7,2.7,3937,437,26.3,2.5,1309,240,8.8,1.5,2033,309,13.6,1.9,1042,210,7,1.3,1444,288,9.7,1.8,13500,803,90.3,0.4,3075,374,20.6,2.2,,,,,0.269365030546986,0.00216854663035646
289,30560,No,GM / NW,3448,ZCTA,ZCTA5 30560,3739,465,74,51,2,1.4,437,162,11.7,4.1,1084,273,29,6.3,890,237,23.8,5.6,243,107,6.5,2.7,595,151,15.9,3.5,416,163,11.1,4.1,511,170,13.7,4.2,3228,438,86.3,4.7,1011,222,27,4.9,,,,,1.09508510497356,0.0192573408089607
290,30562,No,Georgia Mountains,3449,ZCTA,ZCTA5 30562,911,228,86,59,9.4,6.1,162,77,17.8,7.2,349,129,38.3,10.4,166,81,18.2,7.6,40,28,4.4,2.8,94,51,10.3,5,14,32,1.5,3.5,248,97,27.2,8.2,663,166,72.8,25.7,108,60,11.9,5.9,,,,,0.209958448886324,0.000762612225956698
291,30563,No,Georgia Mountains,3450,ZCTA,ZCTA5 30563,3956,393,443,143,11.2,3.4,522,153,13.2,3.6,1422,232,35.9,4.6,599,121,15.1,2.7,207,81,5.2,2,501,160,12.7,3.9,262,90,6.6,2.2,965,209,24.4,4.7,2991,330,75.6,3.6,763,184,19.3,4.2,,,,,0.552561319392297,0.00891606866750255
292,30564,Partial,Georgia Mountains,3451,ZCTA,ZCTA5 30564,2146,326,59,53,2.7,2.4,276,127,12.9,5.6,630,152,29.4,5.5,544,134,25.3,4.9,103,60,4.8,2.7,415,116,19.3,4.5,119,71,5.5,3.2,335,137,15.6,5.9,1811,251,84.4,17.4,534,136,24.9,5.1,,,,,0.806769993735948,0.00797897890458529
293,30565,No,Northeast Georgia,3452,ZCTA,ZCTA5 30565,2936,358,100,59,3.4,2,338,94,11.5,2.9,1255,189,42.7,3.8,498,132,17,4,305,117,10.4,3.8,318,115,10.8,3.7,122,62,4.2,2.1,438,111,14.9,3.3,2498,290,85.1,14.3,440,131,15,4.1,,,,,0.715761028572082,0.00870481332842438
294,30566,Yes,Georgia Mountains,3453,ZCTA,ZCTA5 30566,5232,397,593,177,11.3,3.3,510,142,9.7,2.6,1647,222,31.5,3.5,1089,209,20.8,3.7,313,110,6,2.1,638,144,12.2,2.6,442,100,8.4,1.8,1103,227,21.1,4,4129,369,78.9,3.7,1080,175,20.6,3,,,,,0.409950654876765,0.00250381209288556
295,30567,Partial,GM / NE,3454,ZCTA,ZCTA5 30567,2278,333,82,48,3.6,2.1,203,132,8.9,5.6,689,160,30.2,5.4,525,149,23,5.6,206,73,9,2.9,388,122,17,4.7,185,108,8.1,4.6,285,140,12.5,5.9,1993,282,87.5,17.8,573,163,25.2,6.1,,,,,0.79464370894235,0.00799280723040183
296,30568,No,Georgia Mountains,3455,ZCTA,ZCTA5 30568,1389,348,145,124,10.4,8.6,153,86,11,5.5,464,164,33.4,8.3,221,91,15.9,5.2,57,44,4.1,3,141,80,10.2,5.2,208,103,15,6.4,298,151,21.5,9.5,1091,232,78.5,25.8,349,131,25.1,7,,,,,0.592299846733599,0.00741556074698926
297,30571,No,Georgia Mountains,3456,ZCTA,ZCTA5 30571,3156,373,110,69,3.5,2.2,174,83,5.5,2.6,557,134,17.6,3.7,780,214,24.7,6.1,303,116,9.6,3.5,558,113,17.7,2.9,674,144,21.4,3.8,284,108,9,3.3,2872,333,91,15.1,1232,183,39,3.5,,,,,1.00925433557969,0.0144227999544878
298,30572,No,GM / NW,3457,ZCTA,ZCTA5 30572,804,265,84,92,10.4,10.9,35,45,4.4,5.5,267,86,33.2,15.3,191,100,23.8,9.6,10,20,1.2,2.4,120,64,14.9,6.3,97,73,12.1,8.2,119,102,14.8,11.8,685,165,85.2,34.8,217,97,27,8.2,,,,,0.981937302103343,0.0272337980717174
299,31903,No,River Valley,3848,ZCTA,ZCTA5 31903,12202,649,1384,281,11.3,2.2,2339,378,19.2,2.9,4433,437,36.3,3,2301,282,18.9,2.1,737,168,6,1.3,775,189,6.4,1.5,233,87,1.9,0.7,3723,471,30.5,3.5,8479,585,69.5,3.1,1008,208,8.3,1.6,,,,,0.363347022004101,0.00259982460880748
300,30040,Yes,ARC / GM,3173,ZCTA,ZCTA5 30040,42606,696,1689,293,4,0.7,1651,297,3.9,0.7,7222,443,17,1,8525,518,20,1.2,3252,347,7.6,0.8,14274,622,33.5,1.4,5993,393,14.1,0.9,3340,418,7.8,1,39266,1061,92.2,2,20267,736,47.6,1.5,,,,,0.753933322759745,0.0150497311219612
301,31904,No,River Valley,3849,ZCTA,ZCTA5 31904,23300,755,1284,235,5.5,1,1988,276,8.5,1.2,6135,521,26.3,2.1,5203,488,22.3,2,1501,271,6.4,1.1,4095,419,17.6,1.7,3094,363,13.3,1.5,3272,362,14,1.5,20028,943,86,2.9,7189,554,30.9,2.2,,,,,0.600577103518388,0.00791554150652458
302,31906,No,River Valley,3851,ZCTA,ZCTA5 31906,14218,643,498,128,3.5,0.9,1703,253,12,1.7,4192,418,29.5,2.6,3414,360,24,2.3,1072,224,7.5,1.5,2132,266,15,1.7,1207,181,8.5,1.2,2201,283,15.5,1.9,12017,677,84.5,2.8,3339,322,23.5,2,,,,,0.206396036484019,0.00170596807859803
303,31907,No,River Valley,3852,ZCTA,ZCTA5 31907,36891,986,1164,221,3.2,0.6,3003,364,8.1,1,12126,776,32.9,1.9,10183,779,27.6,2,3303,372,9,1,4093,445,11.1,1.2,3019,383,8.2,1,4167,426,11.3,1.1,32724,1300,88.7,2.6,7112,587,19.3,1.5,,,,,0.409136194567709,0.00573820394112677
304,30052,Yes,ARC / NE,3180,ZCTA,ZCTA5 30052,40243,1509,1044,273,2.6,0.7,2647,421,6.6,1,12928,818,32.1,1.6,9442,737,23.5,1.6,4446,626,11,1.5,6224,635,15.5,1.5,3512,490,8.7,1.2,3691,502,9.2,1.2,36552,1499,90.8,1.5,9736,802,24.2,1.8,,,,,0.953050711175567,0.0222564550620016
305,30054,Yes,Northeast Georgia,3181,ZCTA,ZCTA5 30054,7679,546,347,150,4.5,1.9,806,214,10.5,2.7,3100,384,40.4,4.1,1435,262,18.7,3.1,389,128,5.1,1.6,973,200,12.7,2.4,629,173,8.2,2.2,1153,261,15,3.2,6526,550,85,3.8,1602,265,20.9,3.1,,,,,0.595838520889243,0.0105970686639876
306,30055,Partial,Northeast Georgia,3182,ZCTA,ZCTA5 30055,1944,262,133,63,6.8,3.1,171,64,8.8,3.1,828,149,42.6,5.1,424,109,21.8,4.8,122,68,6.3,3.4,186,73,9.6,3.5,80,47,4.1,2.4,304,90,15.6,4.1,1640,216,84.4,15.9,266,87,13.7,4.1,,,,,0.934749929429326,0.0131867401557122
307,30056,Partial,Northeast Georgia,3183,ZCTA,ZCTA5 30056,1812,268,104,46,5.7,2.4,338,123,18.7,6.2,703,137,38.8,4.9,389,98,21.5,4.4,78,53,4.3,2.9,99,52,5.5,2.7,101,52,5.6,2.8,442,131,24.4,6.3,1370,192,75.6,15.4,200,74,11,3.7,,,,,0.651625825065944,0.00970341555979032
308,31404,No,Coastal Regional Commission,3685,ZCTA,ZCTA5 31404,19794,687,855,180,4.3,0.9,2149,318,10.9,1.6,6085,454,30.7,2,5194,461,26.2,2.1,1283,232,6.5,1.1,2648,300,13.4,1.4,1580,221,8,1.1,3004,366,15.2,1.8,16790,783,84.8,2.6,4228,373,21.4,1.7,,,,,0.468165206913304,0.0039795937121291
309,30058,Yes,Atlanta Regional Commission,3184,ZCTA,ZCTA5 30058,35532,1450,1104,291,3.1,0.8,2238,435,6.3,1.2,10283,812,28.9,2,9400,757,26.5,1.8,3456,499,9.7,1.3,5833,632,16.4,1.6,3218,521,9.1,1.4,3342,523,9.4,1.4,32190,1467,90.6,1.8,9051,819,25.5,2.1,,,,,0.540905895415199,0.00791548833975433
310,30060,Yes,Atlanta Regional Commission,3185,ZCTA,ZCTA5 30060,23900,1228,3932,553,16.5,2.2,2742,400,11.5,1.6,6403,648,26.8,2.3,4614,549,19.3,2.1,1278,264,5.3,1.1,3578,395,15,1.5,1353,232,5.7,0.9,6674,683,27.9,2.5,17226,1001,72.1,2,4931,458,20.6,1.6,,,,,0.606216335073531,0.00415586571923436
311,30062,Yes,Atlanta Regional Commission,3186,ZCTA,ZCTA5 30062,45404,994,1347,322,3,0.7,1120,289,2.5,0.6,5822,521,12.8,1.1,7462,563,16.4,1.2,3504,441,7.7,1,17024,796,37.5,1.5,9125,582,20.1,1.2,2467,432,5.4,0.9,42937,1325,94.6,2.1,26149,986,57.6,1.8,,,,,0.65884322564261,0.00659512346157187
312,30064,Yes,Atlanta Regional Commission,3187,ZCTA,ZCTA5 30064,32850,1081,740,244,2.3,0.7,986,268,3,0.8,6409,615,19.5,1.8,6615,575,20.1,1.6,2935,437,8.9,1.3,9615,622,29.3,1.6,5550,533,16.9,1.5,1726,363,5.3,1.1,31124,1254,94.7,2.2,15165,820,46.2,2,,,,,0.718088483548826,0.00809509956902478
313,31405,No,Coastal Regional Commission,3686,ZCTA,ZCTA5 31405,25528,965,737,185,2.9,0.7,2145,329,8.4,1.2,5988,516,23.5,1.8,6068,502,23.8,1.8,1721,335,6.7,1.3,5242,526,20.5,1.9,3627,427,14.2,1.6,2882,377,11.3,1.4,22646,1044,88.7,2.3,8869,678,34.7,2.3,,,,,0.668102067852447,0.00765261063349591
314,30066,Yes,Atlanta Regional Commission,3188,ZCTA,ZCTA5 30066,37029,1042,573,167,1.5,0.4,1049,242,2.8,0.6,6171,566,16.7,1.5,7602,584,20.5,1.5,2945,394,8,1,12944,724,35,1.7,5745,490,15.5,1.3,1622,294,4.4,0.8,35407,1257,95.6,2.1,18689,874,50.5,1.9,,,,,0.545092908890623,0.00695664895032447
315,30067,Yes,Atlanta Regional Commission,3189,ZCTA,ZCTA5 30067,31770,837,1223,278,3.8,0.9,1238,285,3.9,0.9,5276,502,16.6,1.5,6045,593,19,1.8,2348,331,7.4,1,10114,665,31.8,1.9,5526,445,17.4,1.3,2461,398,7.7,1.2,29309,1163,92.3,2.7,15640,800,49.2,2.2,,,,,0.449131238764212,0.00380817474868536
316,30068,Yes,Atlanta Regional Commission,3190,ZCTA,ZCTA5 30068,22157,673,289,134,1.3,0.6,356,146,1.6,0.7,2247,312,10.1,1.4,3200,344,14.4,1.5,1212,202,5.5,0.9,9011,536,40.7,2.1,5842,431,26.4,1.8,645,198,2.9,0.9,21512,854,97.1,2.5,14853,687,67,2.3,,,,,0.392040979832029,0.00372508383159482
317,30070,Yes,Northeast Georgia,3191,ZCTA,ZCTA5 30070,317,122,20,38,6.3,11.9,71,45,22.4,11.2,121,56,38.2,9.7,80,44,25.2,10,20,22,6.3,6.6,5,15,1.6,4.6,0,32,0,10,91,59,28.7,15,226,82,71.3,37.8,5,35,1.6,11.1,,,,,0.037832575188498,1.55516431615563e-05
318,31314,No,Coastal Regional Commission,3670,ZCTA,ZCTA5 31314,421,123,0,37,0,8.7,0,37,0,8.7,153,77,36.3,14.9,224,96,53.2,16.8,4,16,1,3.7,40,34,9.5,7.5,0,32,0,7.6,0,52,0,12.4,421,133,100,11.8,40,46,9.5,10.6,,,,,0.329665117351665,0.00233388081337355
319,31406,No,Coastal Regional Commission,3687,ZCTA,ZCTA5 31406,23923,805,816,228,3.4,0.9,1988,377,8.3,1.6,5383,490,22.5,1.9,6707,663,28,2.6,1750,281,7.3,1.1,4537,448,19,1.8,2742,387,11.5,1.6,2804,441,11.7,1.8,21119,1053,88.3,3.2,7279,592,30.4,2.3,,,,,0.560957926717758,0.00719249034843197
320,30071,Yes,Atlanta Regional Commission,3192,ZCTA,ZCTA5 30071,15192,822,2410,424,15.9,2.7,2010,379,13.2,2.4,3797,514,25,3.1,2344,434,15.4,2.7,1335,335,8.8,2.2,2271,334,14.9,2,1025,187,6.7,1.2,4420,569,29.1,3.4,10772,844,70.9,4,3296,383,21.7,2.2,,,,,0.422875620976355,0.00302887260048732
321,30072,Yes,Atlanta Regional Commission,3193,ZCTA,ZCTA5 30072,541,129,6,36,1.1,6.7,9,31,1.7,5.8,125,53,23.1,8.2,74,33,13.7,5.2,63,35,11.6,5.9,168,62,31.1,8.8,96,45,17.7,7.1,15,48,2.8,8.8,526,105,97.2,30.2,264,77,48.8,8,,,,,0.0453447923290298,5.38855353160149e-05
322,31315,No,Coastal Regional Commission,3671,ZCTA,ZCTA5 31315,2995,282,38,57,1.3,1.9,80,60,2.7,2,877,185,29.3,5.5,995,171,33.2,4.8,350,110,11.7,3.5,477,122,15.9,3.8,178,73,5.9,2.4,118,83,3.9,2.7,2877,309,96.1,5,655,142,21.9,4.3,,,,,0.346802799808667,0.00294927118291251
